,Counties,Cases,Deaths
0,Alcona,4,0
1,Allegan,65,1
2,Alpena,60,2
3,Antrim,10,1
4,Arenac,16,1
5,Barry,28,1
6,Bay,114,2
7,Benzie,4,0
8,Berrien,213,12
9,Branch,47,2
10,Calhoun,191,10
11,Cass,26,2
12,Charlevoix,13,1
13,Cheboygan,17,1
14,Chippewa,2,0
15,Clare,10,1
16,Clinton,106,9
17,Crawford,45,3
18,Delta,12,2
19,DetroitCity,8548,912
20,Dickinson,3,2
21,Eaton,114,5
22,Emmet,21,2
23,Genesee,1452,157
24,Gladwin,10,1
25,Gogebic,4,1
26,GrandTraverse,19,5
27,Gratiot,8,1
28,Hillsdale,109,14
29,Houghton,2,0
30,Huron,11,0
31,Ingham,395,9
32,Ionia,41,2
33,Iosco,29,4
34,Isabella,55,7
35,Jackson,323,16
36,Kalamazoo,280,11
37,Kalkaska,17,2
38,Kent,929,32
39,Lake,2,0
40,Lapeer,162,23
41,Leelanau,9,0
42,Lenawee,82,0
43,Livingston,315,14
44,Luce,1,0
45,Mackinac,5,0
46,Macomb,5139,517
47,Manistee,12,0
48,Marquette,41,7
49,Mason,5,0
50,Mecosta,14,1
51,Menominee,3,0
52,Midland,51,3
53,Missaukee,15,1
54,Monroe,267,11
55,Montcalm,29,1
56,Montmorency,5,0
57,Muskegon,213,13
58,Newaygo,14,0
59,Oakland,6881,612
60,Oceana,4,1
61,Ogemaw,8,0
62,Osceola,8,0
63,Oscoda,4,0
64,Otsego,84,7
65,Ottawa,173,8
66,PresqueIsle,10,0
67,Roscommon,13,0
68,Saginaw,545,43
69,Sanilac,34,4
70,Schoolcraft,3,0
71,Shiawassee,129,7
72,StClair,297,18
73,StJoseph,27,1
74,Tuscola,81,13
75,VanBuren,34,2
76,Washtenaw,1002,50
77,Wayne,7000,648
78,Wexford,8,1
79,MDOC,1026,31
80,FCI,74,1
81,Unknown,2,1
82,OutofState,19,1
83,Totals,37203,3274
